ticket_id,category_id,agent_id,priority,status,created_at,first_response_at,resolved_at,root_cause,resolution_type,escalation_flag,customer_impact,description
TCK-0000001,3,23,P3,Resolved,2026-06-15 13:48:43+00:00,2026-06-15 14:27:47.524082709+00:00,2026-06-15 19:21:45.810055125+00:00,Monitoring Noise,Vendor Fix,False,Low,P3 Platform/Compute: node saturation alerts; suspected Monitoring Noise.
TCK-0004479,8,32,P2,Resolved,2026-06-11 05:58:59+00:00,2026-06-11 06:02:44.240583717+00:00,2026-06-11 20:28:13.688376540+00:00,Authentication,Code Fix,False,Medium,P2 Security/SSO: SAML assertion rejected; suspected Authentication.
TCK-0004480,5,33,P2,Closed,2026-05-16 11:43:59+00:00,2026-05-16 12:04:05.326581516+00:00,2026-05-16 12:22:47.772864873+00:00,Permissions,Code Fix,True,Medium,P2 Application/Login: failed sign-in attempts; suspected Permissions.
TCK-0004481,6,19,P3,Closed,2026-03-23 19:03:22+00:00,2026-03-23 20:20:12.364027091+00:00,2026-03-23 20:33:59.546794827+00:00,Configuration,Knowledge Base,False,Low,P3 Application/Checkout: cart submission timeout; suspected Configuration.
TCK-0004482,8,25,P2,Resolved,2026-06-27 20:37:15+00:00,2026-06-27 20:44:21.874379760+00:00,2026-06-28 02:17:31.353781594+00:00,Permissions,Config Change,True,Medium,P2 Security/SSO: certificate trust warning; suspected Permissions.
TCK-0004483,13,18,P3,Resolved,2026-04-23 10:31:46+00:00,2026-04-23 11:42:48.667606644+00:00,2026-04-24 05:44:43.600371342+00:00,Vendor Outage,Restart,False,Low,P3 Integrations/CRM Sync: duplicate account mapping; suspected Vendor Outage.
TCK-0004484,5,2,P4,Resolved,2026-05-28 10:35:33+00:00,2026-05-28 12:06:57.180966455+00:00,2026-05-28 17:15:56.385330625+00:00,Permissions,Code Fix,False,High,P4 Application/Login: password reset failures; suspected Permissions.
TCK-0004485,5,7,P3,Resolved,2026-04-30 19:49:41+00:00,2026-04-30 22:47:36.557424494+00:00,2026-05-01 08:05:34.736692483+00:00,Code Regression,Config Change,False,Low,P3 Application/Login: password reset failures; suspected Code Regression.
TCK-0004486,10,1,P3,Closed,2026-02-11 09:44:55+00:00,2026-02-11 10:22:40.965775296+00:00,2026-02-11 19:03:34.634599720+00:00,Data Sync,Restart,False,None,P3 Billing/Invoice: invoice mismatch; suspected Data Sync.
TCK-0004487,4,3,P4,Resolved,2026-04-09 09:19:34+00:00,2026-04-09 11:02:42.275393656+00:00,2026-04-09 19:28:31.478070333+00:00,Code Regression,Knowledge Base,False,None,P4 Platform/Database: connection pool exhaustion; suspected Code Regression.
TCK-0004488,5,36,P3,Resolved,2026-05-12 13:31:41+00:00,2026-05-12 14:47:31.563944612+00:00,2026-05-12 16:14:41.689227586+00:00,Authentication,Code Fix,False,None,P3 Application/Login: password reset failures; suspected Authentication.
TCK-0004489,9,19,P3,Resolved,2026-05-04 19:50:02+00:00,2026-05-04 20:09:37.830324019+00:00,2026-05-04 21:38:44.049689137+00:00,Documentation Gap,Config Change,False,Medium,P3 Security/Access Review: access request blocked; suspected Documentation Gap.
TCK-0004490,5,7,P3,Closed,2026-04-02 18:54:05+00:00,2026-04-02 19:54:56.785248228+00:00,2026-04-02 22:25:52.359370552+00:00,Code Regression,Restart,False,Low,P3 Application/Login: failed sign-in attempts; suspected Code Regression.
TCK-0004491,5,4,P2,Resolved,2026-07-29 00:38:12+00:00,2026-07-29 01:15:35.069387350+00:00,2026-07-29 06:43:26.460319835+00:00,,User Education,False,Medium,P2 Application/Login: password reset failures; suspected unknown root cause pending RCA.
TCK-0004492,2,24,P3,Closed,2026-06-26 07:58:36+00:00,2026-06-26 08:37:05.106935281+00:00,2026-06-26 10:57:14.382986069+00:00,Configuration,Config Change,False,High,P3 Network/DNS: incorrect record propagation; suspected Configuration.
TCK-0004493,6,16,P3,Resolved,2026-03-17 17:27:09+00:00,2026-03-17 18:47:22.262619002+00:00,2026-03-17 23:03:33.773498967+00:00,Configuration,Knowledge Base,True,Medium,P3 Application/Checkout: cart submission timeout; suspected Configuration.
TCK-0004494,6,18,P4,Resolved,2026-02-11 10:56:39+00:00,2026-02-11 11:31:03.411623310+00:00,2026-02-11 22:26:57.314100212+00:00,,Code Fix,False,Medium,P4 Application/Checkout: payment handoff error; suspected unknown root cause pending RCA.
TCK-0004495,14,13,P3,Resolved,2026-07-09 18:32:41+00:00,2026-07-09 20:02:32.544741532+00:00,2026-07-09 21:11:34.639197368+00:00,Configuration,Code Fix,False,Medium,P3 Observability/Alerts: noisy monitor; suspected Configuration.
TCK-0004496,2,28,P3,Closed,2026-04-28 15:20:00+00:00,2026-04-28 16:42:17.363167465+00:00,2026-04-28 17:45:05.390880378+00:00,Network Latency,Config Change,False,None,P3 Network/DNS: incorrect record propagation; suspected Network Latency.
TCK-0004497,7,33,P3,Resolved,2026-06-10 09:12:20+00:00,2026-06-10 09:28:46.827631505+00:00,2026-06-11 18:29:44.586347320+00:00,Code Regression,Knowledge Base,False,None,P3 Application/API: rate limit confusion; suspected Code Regression.
TCK-0004498,8,12,P3,Resolved,2026-06-28 07:04:20+00:00,2026-06-28 08:08:37.977390428+00:00,2026-06-28 14:55:33.976664534+00:00,Certificate Expiry,User Education,False,Low,P3 Security/SSO: identity provider timeout; suspected Certificate Expiry.
TCK-0004499,1,30,P3,Closed,2026-04-10 12:20:09+00:00,2026-04-10 13:19:04.205854183+00:00,2026-04-10 18:27:02.241157144+00:00,Authentication,Monitoring Update,True,None,P3 Network/VPN: users unable to establish tunnel; suspected Authentication.
TCK-0004500,5,5,P4,Resolved,2026-02-08 08:11:04+00:00,2026-02-08 10:37:28.592193879+00:00,2026-02-08 15:19:12.463621876+00:00,Code Regression,Config Change,False,None,P4 Application/Login: failed sign-in attempts; suspected Code Regression.
TCK-0004501,14,5,P3,Closed,2026-02-08 02:48:40+00:00,2026-02-08 06:17:37.543103403+00:00,2026-02-08 12:18:48.595502074+00:00,Capacity,Vendor Fix,False,Medium,P3 Observability/Alerts: threshold drift; suspected Capacity.
TCK-0004502,7,13,P3,Resolved,2026-02-04 19:39:04+00:00,2026-02-04 21:18:00.855356920+00:00,2026-02-05 00:49:38.948519854+00:00,Code Regression,Restart,False,High,P3 Application/API: token validation failures; suspected Code Regression.
TCK-0004503,5,18,P3,Resolved,2026-06-17 08:42:32+00:00,2026-06-17 13:44:31.916803798+00:00,2026-06-17 12:11:04.908218160+00:00,Authentication,Monitoring Update,False,Medium,P3 Application/Login: session timeout reports; suspected Authentication.
TCK-0004504,4,28,P1,Resolved,2026-07-24 15:05:00+00:00,2026-07-24 15:11:58.316935852+00:00,2026-07-25 03:53:01.665316272+00:00,Data Sync,Restart,False,High,P1 Platform/Database: slow queries; suspected Data Sync.
TCK-0004505,8,30,P4,Closed,2026-04-12 10:21:14+00:00,2026-04-12 11:02:13.385890221+00:00,2026-04-12 19:30:50.843283399+00:00,Certificate Expiry,Code Fix,False,Low,P4 Security/SSO: identity provider timeout; suspected Certificate Expiry.
TCK-0004506,8,25,P3,Resolved,2026-04-11 16:22:08+00:00,2026-04-11 16:54:35.077170892+00:00,2026-04-12 07:43:53.116855757+00:00,Authentication,Knowledge Base,True,High,P3 Security/SSO: certificate trust warning; suspected Authentication.
TCK-0004507,1,36,P4,Closed,2026-03-30 09:55:47+00:00,2026-03-30 11:08:22.818280504+00:00,2026-03-30 19:18:29.775272360+00:00,Network Latency,User Education,False,None,P4 Network/VPN: users unable to establish tunnel; suspected Network Latency.
TCK-0004508,13,15,P3,Resolved,2026-06-29 10:11:01+00:00,2026-06-29 10:39:41.333804694+00:00,2026-06-29 16:15:30.087780206+00:00,Data Sync,Vendor Fix,False,Medium,P3 Integrations/CRM Sync: stale customer record; suspected Data Sync.
TCK-0004509,6,26,P3,Resolved,2026-03-18 00:26:12+00:00,2026-03-18 00:41:10.103663739+00:00,2026-03-18 05:10:29.792233021+00:00,Code Regression,Restart,False,High,P3 Application/Checkout: order confirmation delay; suspected Code Regression.
TCK-0004510,5,18,P3,Resolved,2026-05-12 08:26:20+00:00,2026-05-12 09:47:55.593034114+00:00,2026-05-12 10:41:18.800661348+00:00,Code Regression,Restart,False,Medium,P3 Application/Login: session timeout reports; suspected Code Regression.
TCK-0004511,2,20,P2,Closed,2026-07-28 15:59:56+00:00,2026-07-28 16:11:30.320647403+00:00,2026-07-28 17:16:48.011771308+00:00,Configuration,Vendor Fix,False,Medium,P2 Network/DNS: intermittent name resolution; suspected Configuration.
TCK-0004512,8,34,P4,Resolved,2026-04-23 21:33:24+00:00,2026-04-23 23:21:43.628574781+00:00,2026-04-24 03:27:49.479739439+00:00,Certificate Expiry,Config Change,False,Low,P4 Security/SSO: certificate trust warning; suspected Certificate Expiry.
TCK-0004513,3,3,P2,Closed,2026-03-12 12:26:18+00:00,2026-03-12 12:40:52.620156059+00:00,2026-03-12 16:22:54.286217617+00:00,Configuration,Config Change,True,Medium,P2 Platform/Compute: node saturation alerts; suspected Configuration.
TCK-0004514,1,15,P4,Closed,2026-02-07 08:45:12+00:00,2026-02-07 11:36:20.519559089+00:00,2026-02-07 17:05:01.477155316+00:00,Configuration,Vendor Fix,True,Medium,P4 Network/VPN: slow split-tunnel routing; suspected Configuration.
TCK-0004515,1,12,P4,Resolved,2026-07-31 09:53:00+00:00,2026-07-31 12:31:10.487375100+00:00,2026-08-01 03:09:26.659917328+00:00,Network Latency,Knowledge Base,True,None,P4 Network/VPN: MFA loop during remote login; suspected Network Latency.
TCK-0004516,8,10,P3,Resolved,2026-05-09 19:04:12+00:00,2026-05-09 19:46:14.830001166+00:00,2026-05-10 21:43:14.286530178+00:00,Certificate Expiry,Code Fix,False,Low,P3 Security/SSO: certificate trust warning; suspected Certificate Expiry.
TCK-0004517,14,8,P3,Resolved,2026-06-09 10:46:15+00:00,2026-06-09 12:58:48.067983594+00:00,2026-06-09 13:23:10.599469725+00:00,Capacity,Code Fix,False,Low,P3 Observability/Alerts: threshold drift; suspected Capacity.
TCK-0004518,5,33,P4,Resolved,2026-07-14 12:33:07+00:00,2026-07-14 15:23:19.760160751+00:00,2026-07-14 18:59:50.118740978+00:00,Permissions,User Education,False,None,P4 Application/Login: failed sign-in attempts; suspected Permissions.
TCK-0004519,5,15,P3,Resolved,2026-02-07 09:29:03+00:00,2026-02-07 09:42:28.915066462+00:00,2026-02-07 13:22:26.292087824+00:00,Configuration,Config Change,False,Medium,P3 Application/Login: session timeout reports; suspected Configuration.
TCK-0004520,3,26,P2,Resolved,2026-03-30 12:09:24+00:00,2026-03-30 12:14:03.281955730+00:00,2026-03-30 16:33:32.883290981+00:00,Capacity,Restart,False,High,P2 Platform/Compute: pod scheduling delay; suspected Capacity.
TCK-0004521,7,12,P3,Resolved,2026-02-15 07:58:02+00:00,2026-02-15 09:29:58.050876159+00:00,2026-02-15 12:48:14.635290665+00:00,,Vendor Fix,False,None,P3 Application/API: rate limit confusion; suspected unknown root cause pending RCA.
TCK-0004522,10,22,P2,Resolved,2026-02-27 14:13:46+00:00,2026-02-27 14:52:11.977556611+00:00,2026-02-28 07:14:33.905316981+00:00,Customer Error,User Education,False,Low,P2 Billing/Invoice: tax calculation question; suspected Customer Error.
TCK-0004523,5,18,P3,Resolved,2026-07-04 13:27:15+00:00,2026-07-04 15:57:14.996562212+00:00,2026-07-04 18:31:34.828610467+00:00,Authentication,Code Fix,False,Medium,P3 Application/Login: session timeout reports; suspected Authentication.
TCK-0004524,8,16,P2,Resolved,2026-04-21 14:07:59+00:00,2026-04-21 14:55:50.433747952+00:00,2026-04-21 22:39:25.670700761+00:00,Permissions,Code Fix,True,Medium,P2 Security/SSO: SAML assertion rejected; suspected Permissions.
TCK-0004525,1,1,P4,Closed,2026-04-11 17:42:00+00:00,2026-04-11 18:41:34.745540782+00:00,2026-04-12 01:19:00.156960389+00:00,,Knowledge Base,False,High,P4 Network/VPN: MFA loop during remote login; suspected unknown root cause pending RCA.
TCK-0004526,10,16,P4,Resolved,2026-03-11 15:07:48+00:00,2026-03-11 16:20:30.783999176+00:00,2026-03-11 22:25:20.902315444+00:00,Data Sync,User Education,False,Medium,P4 Billing/Invoice: tax calculation question; suspected Data Sync.
TCK-0004527,14,30,P2,Closed,2026-06-09 13:48:56+00:00,2026-06-09 15:19:26.602402860+00:00,2026-06-09 15:19:10.759202957+00:00,Configuration,Config Change,False,Medium,P2 Observability/Alerts: threshold drift; suspected Configuration.
TCK-0004528,12,6,P1,Resolved,2026-06-30 09:00:16+00:00,2026-06-30 09:03:11.363266331+00:00,2026-06-30 12:46:11.972432964+00:00,Customer Error,User Education,False,High,P1 Integrations/Webhook: signature validation failure; suspected Customer Error.
TCK-0004529,8,16,P3,Resolved,2026-03-28 19:52:33+00:00,2026-03-28 21:52:07.055503205+00:00,2026-03-29 04:01:42.632606305+00:00,Permissions,User Education,False,Low,P3 Security/SSO: SAML assertion rejected; suspected Permissions.
TCK-0004530,2,4,P4,Resolved,2026-03-28 17:37:42+00:00,2026-03-28 21:46:14.062082519+00:00,2026-03-28 23:40:31.375347604+00:00,Configuration,User Education,False,None,P4 Network/DNS: service discovery timeout; suspected Configuration.
TCK-0004531,6,26,P3,Resolved,2026-07-07 23:19:31+00:00,2026-07-07 23:32:51.068805591+00:00,2026-07-08 02:57:26.593541786+00:00,Configuration,Restart,True,Low,P3 Application/Checkout: payment handoff error; suspected Configuration.
TCK-0004532,8,23,P3,Closed,2026-05-18 00:32:17+00:00,2026-05-18 01:35:32.127907165+00:00,2026-05-18 09:36:46.104518492+00:00,Certificate Expiry,Vendor Fix,False,Medium,P3 Security/SSO: SAML assertion rejected; suspected Certificate Expiry.
TCK-0004533,9,27,P4,Resolved,2026-05-21 12:10:24+00:00,2026-05-21 16:02:05.004908302+00:00,2026-05-21 18:31:13.622919646+00:00,Permissions,Knowledge Base,False,None,P4 Security/Access Review: role mapping mismatch; suspected Permissions.
TCK-0004534,5,31,P1,Closed,2026-02-09 14:58:55+00:00,2026-02-09 15:03:00.737452082+00:00,2026-02-09 19:55:06.353613914+00:00,Permissions,Config Change,False,High,P1 Application/Login: session timeout reports; suspected Permissions.
TCK-0004535,8,4,P2,Resolved,2026-02-03 18:34:41+00:00,2026-02-03 18:36:57.611896873+00:00,2026-02-04 00:41:00.298572253+00:00,Authentication,Vendor Fix,False,Low,P2 Security/SSO: certificate trust warning; suspected Authentication.
TCK-0004536,5,28,P3,Resolved,2026-05-30 16:21:25+00:00,2026-05-30 17:09:09.801337226+00:00,2026-05-30 21:33:33.193667813+00:00,Authentication,Restart,False,High,P3 Application/Login: session timeout reports; suspected Authentication.
TCK-0004537,1,34,P4,Resolved,2026-06-27 16:00:57+00:00,2026-06-27 16:29:09.815978884+00:00,2026-06-28 00:15:26.305966004+00:00,Authentication,Config Change,False,Low,P4 Network/VPN: MFA loop during remote login; suspected Authentication.
TCK-0004538,13,16,P4,Resolved,2026-06-23 12:49:09+00:00,2026-06-23 14:55:01.181813124+00:00,2026-06-23 20:26:28.343347333+00:00,Vendor Outage,Config Change,True,High,P4 Integrations/CRM Sync: sync job backlog; suspected Vendor Outage.
TCK-0004539,10,21,P1,Resolved,2026-04-30 11:01:26+00:00,2026-04-30 11:03:14+00:00,2026-04-30 16:14:23.650842222+00:00,Data Sync,Config Change,False,Medium,P1 Billing/Invoice: missing billing contact; suspected Data Sync.
TCK-0004540,4,6,P4,Closed,2026-03-19 09:56:15+00:00,2026-03-19 10:20:59.714585461+00:00,2026-03-19 15:30:01.115447680+00:00,Configuration,User Education,False,Low,P4 Platform/Database: slow queries; suspected Configuration.
TCK-0004541,2,6,P3,Closed,2026-03-04 10:37:38+00:00,2026-03-04 11:59:08.466741437+00:00,2026-03-04 17:48:40.204975095+00:00,Vendor Outage,Config Change,False,Low,P3 Network/DNS: intermittent name resolution; suspected Vendor Outage.
TCK-0004542,1,34,P3,Closed,2026-07-14 21:07:01+00:00,2026-07-14 22:51:26.548948723+00:00,2026-07-15 04:59:45.024659979+00:00,Capacity,Code Fix,True,Low,P3 Network/VPN: slow split-tunnel routing; suspected Capacity.
TCK-0004543,14,36,P2,Resolved,2026-07-27 09:16:39+00:00,2026-07-27 09:41:49.053458741+00:00,2026-07-27 14:27:32.442791795+00:00,Certificate Expiry,User Education,False,High,P2 Observability/Alerts: threshold drift; suspected Certificate Expiry.
TCK-0004544,6,12,P3,Closed,2026-03-03 00:50:53+00:00,2026-03-03 01:02:41.754410725+00:00,2026-03-03 08:43:37.556944214+00:00,Code Regression,Monitoring Update,False,Low,P3 Application/Checkout: payment handoff error; suspected Code Regression.
TCK-0004545,1,33,P4,Closed,2026-05-29 17:38:28+00:00,2026-05-29 19:24:16.027760875+00:00,2026-05-30 02:59:17.069848037+00:00,Configuration,User Education,False,Low,P4 Network/VPN: MFA loop during remote login; suspected Configuration.
TCK-0004546,2,24,P3,Resolved,2026-02-04 09:45:53+00:00,2026-02-04 11:52:54.627058650+00:00,2026-02-04 16:12:44.912563773+00:00,Capacity,Restart,False,Low,P3 Network/DNS: incorrect record propagation; suspected Capacity.
TCK-0004547,10,33,P4,Resolved,2026-02-11 09:04:20+00:00,2026-02-11 09:54:53.893655637+00:00,2026-02-11 20:38:50.033887029+00:00,Customer Error,User Education,True,None,P4 Billing/Invoice: invoice mismatch; suspected Customer Error.
TCK-0004548,4,7,P2,Resolved,2026-03-30 17:21:20+00:00,2026-03-30 17:28:42.955309950+00:00,2026-03-31 02:21:50.979751230+00:00,Capacity,Config Change,False,Medium,P2 Platform/Database: connection pool exhaustion; suspected Capacity.
TCK-0004549,5,1,P3,Closed,2026-07-16 15:16:36+00:00,2026-07-16 16:07:20.024189335+00:00,2026-07-17 04:08:47.903827568+00:00,Authentication,Monitoring Update,False,High,P3 Application/Login: session timeout reports; suspected Authentication.
TCK-0004550,10,7,P3,Resolved,2026-03-09 16:45:05+00:00,2026-03-09 18:37:51.120466921+00:00,2026-03-10 17:43:24.342518238+00:00,Data Sync,Knowledge Base,False,Low,P3 Billing/Invoice: tax calculation question; suspected Data Sync.
TCK-0004551,7,36,P4,Resolved,2026-04-21 06:25:06+00:00,2026-04-21 06:28:24.790490031+00:00,2026-04-21 11:26:38.105211555+00:00,,Monitoring Update,False,Low,P4 Application/API: elevated 5xx rate; suspected unknown root cause pending RCA.
TCK-0004552,13,31,P3,Resolved,2026-02-28 16:08:00+00:00,2026-02-28 18:24:34.861262161+00:00,2026-02-28 21:13:50.095880503+00:00,Permissions,User Education,False,Low,P3 Integrations/CRM Sync: sync job backlog; suspected Permissions.
TCK-0004553,7,12,P2,Resolved,2026-06-06 12:04:35+00:00,2026-06-06 12:30:28.918297917+00:00,2026-06-06 19:57:24.207173010+00:00,,Config Change,False,Critical,P2 Application/API: token validation failures; suspected unknown root cause pending RCA.
TCK-0004554,2,13,P3,Resolved,2026-07-08 18:55:20+00:00,2026-07-08 20:12:27.869325804+00:00,2026-07-09 02:48:37.762713337+00:00,Configuration,Knowledge Base,False,Medium,P3 Network/DNS: service discovery timeout; suspected Configuration.
TCK-0004555,8,18,P3,Resolved,2026-03-07 07:58:09+00:00,2026-03-07 08:10:08.811125677+00:00,2026-03-07 14:40:45.132558225+00:00,Certificate Expiry,Monitoring Update,False,Low,P3 Security/SSO: certificate trust warning; suspected Certificate Expiry.
TCK-0004556,4,6,P4,Resolved,2026-05-07 13:34:05+00:00,2026-05-07 18:13:11.781545313+00:00,2026-05-07 20:25:07.985179531+00:00,Data Sync,User Education,False,None,P4 Platform/Database: replication lag; suspected Data Sync.
TCK-0004557,12,19,P3,Closed,2026-07-31 19:50:48+00:00,2026-07-31 19:59:45.042582111+00:00,2026-08-01 04:45:50.372672210+00:00,Customer Error,User Education,False,Medium,P3 Integrations/Webhook: subscriber endpoint timeout; suspected Customer Error.
TCK-0004558,8,9,P3,Resolved,2026-03-29 07:40:08+00:00,2026-03-29 08:44:43.960537287+00:00,2026-03-29 11:29:09.825277488+00:00,Permissions,Restart,False,High,P3 Security/SSO: SAML assertion rejected; suspected Permissions.
TCK-0004559,8,12,P3,Resolved,2026-05-15 06:21:48+00:00,2026-05-15 07:44:50.274207771+00:00,2026-05-15 10:55:17.207639084+00:00,Permissions,Code Fix,False,None,P3 Security/SSO: certificate trust warning; suspected Permissions.
TCK-0004560,12,9,P3,Closed,2026-02-27 07:40:08+00:00,2026-02-27 11:44:51.437453253+00:00,2026-02-27 11:03:36.074268722+00:00,Customer Error,User Education,False,Low,P3 Integrations/Webhook: subscriber endpoint timeout; suspected Customer Error.
TCK-0004561,2,1,P3,Resolved,2026-03-21 17:12:46+00:00,2026-03-21 18:00:46.575725167+00:00,2026-03-21 22:24:19.843490750+00:00,Network Latency,User Education,False,Medium,P3 Network/DNS: service discovery timeout; suspected Network Latency.
TCK-0004562,4,18,P2,Resolved,2026-07-08 16:34:28+00:00,2026-07-08 16:51:54.175390870+00:00,2026-07-08 20:18:33.926459011+00:00,Code Regression,Monitoring Update,False,Medium,P2 Platform/Database: connection pool exhaustion; suspected Code Regression.
TCK-0004563,2,18,P2,Closed,2026-06-07 12:37:23+00:00,2026-06-07 13:22:55.126214011+00:00,2026-06-07 16:11:56.214960897+00:00,Configuration,Code Fix,False,High,P2 Network/DNS: incorrect record propagation; suspected Configuration.
TCK-0004564,12,22,P3,Closed,2026-04-23 15:41:25+00:00,2026-04-23 16:14:52.980426809+00:00,2026-04-24 02:53:43.051799503+00:00,Customer Error,User Education,False,None,P3 Integrations/Webhook: delivery retry storm; suspected Customer Error.
TCK-0004565,10,13,P2,Resolved,2026-06-26 17:30:09+00:00,2026-06-26 18:33:18.350724099+00:00,2026-06-27 09:27:06.806224451+00:00,Data Sync,User Education,False,Medium,P2 Billing/Invoice: invoice mismatch; suspected Data Sync.
TCK-0004566,13,1,P4,Resolved,2026-02-17 20:58:32+00:00,2026-02-17 22:20:29.107162134+00:00,2026-02-18 04:22:38.134099158+00:00,Vendor Outage,Config Change,False,None,P4 Integrations/CRM Sync: sync job backlog; suspected Vendor Outage.
TCK-0004567,8,28,P1,Resolved,2026-03-25 18:00:58+00:00,2026-03-25 18:15:06.142085096+00:00,2026-03-25 20:13:24.705900498+00:00,Permissions,Knowledge Base,True,High,P1 Security/SSO: SAML assertion rejected; suspected Permissions.
TCK-0004568,5,22,P3,Closed,2026-02-17 15:50:30+00:00,2026-02-17 16:44:27.968678771+00:00,2026-02-17 20:56:37.090636342+00:00,Authentication,Code Fix,False,Medium,P3 Application/Login: password reset failures; suspected Authentication.
TCK-0004569,10,10,P2,Resolved,2026-05-04 21:04:21+00:00,2026-05-04 21:49:05.350951173+00:00,2026-05-05 04:28:41.478618053+00:00,Customer Error,User Education,False,High,P2 Billing/Invoice: tax calculation question; suspected Customer Error.
TCK-0004570,9,27,P3,Resolved,2026-06-24 10:24:30+00:00,2026-06-24 10:34:11.814914019+00:00,2026-06-24 15:12:24.348880893+00:00,Permissions,Config Change,False,Critical,P3 Security/Access Review: access request blocked; suspected Permissions.
TCK-0004571,1,16,P3,Resolved,2026-05-08 19:42:21+00:00,2026-05-08 22:50:38.523396452+00:00,2026-05-12 12:25:40.615081311+00:00,Authentication,Code Fix,False,Low,P3 Network/VPN: MFA loop during remote login; suspected Authentication.
TCK-0004572,10,19,P3,Resolved,2026-04-19 21:28:29+00:00,2026-04-19 23:54:23.427839622+00:00,2026-04-20 02:06:28.984170880+00:00,Configuration,Config Change,False,None,P3 Billing/Invoice: invoice mismatch; suspected Configuration.
TCK-0004573,13,7,P3,Resolved,2026-05-21 14:56:07+00:00,2026-05-21 15:53:31.561886942+00:00,2026-05-22 05:10:37.855778241+00:00,Permissions,Vendor Fix,False,Low,P3 Integrations/CRM Sync: sync job backlog; suspected Permissions.
TCK-0004574,3,17,P4,Closed,2026-04-11 03:51:01+00:00,2026-04-11 04:56:57.291679810+00:00,2026-04-11 16:27:11.254206532+00:00,Permissions,Restart,False,Medium,P4 Platform/Compute: pod scheduling delay; suspected Permissions.
TCK-0004575,12,10,P3,Resolved,2026-03-04 14:28:56+00:00,2026-03-04 14:46:22.383573518+00:00,2026-03-05 10:42:36.489314047+00:00,Configuration,Knowledge Base,False,Medium,P3 Integrations/Webhook: signature validation failure; suspected Configuration.
TCK-0004576,9,1,P3,Resolved,2026-07-04 16:17:32+00:00,2026-07-04 18:43:40.480430302+00:00,2026-07-05 07:43:06.215320453+00:00,Permissions,Config Change,False,Low,P3 Security/Access Review: access request blocked; suspected Permissions.
TCK-0004577,12,6,P4,Resolved,2026-02-27 06:02:41+00:00,2026-02-27 07:17:47.845230973+00:00,2026-02-27 13:27:22.096362368+00:00,Code Regression,Config Change,False,None,P4 Integrations/Webhook: delivery retry storm; suspected Code Regression.
TCK-0004578,11,2,P2,Resolved,2026-05-21 04:08:05+00:00,2026-05-21 04:31:16.856455379+00:00,2026-05-21 12:41:33.064200671+00:00,Code Regression,Monitoring Update,False,Critical,P2 Billing/Payments: settlement delay; suspected Code Regression.
TCK-0004579,9,1,P3,Closed,2026-03-18 14:20:35+00:00,2026-03-18 15:03:45.084239867+00:00,2026-03-18 22:03:26.525249486+00:00,Capacity,Vendor Fix,False,Medium,P3 Security/Access Review: role mapping mismatch; suspected Capacity.
TCK-0004580,6,34,P2,Resolved,2026-02-02 19:32:32+00:00,2026-02-02 21:02:16.510088474+00:00,2026-02-02 22:24:35.283625932+00:00,Data Sync,Config Change,False,High,P2 Application/Checkout: payment handoff error; suspected Data Sync.
TCK-0004581,14,2,P2,Resolved,2026-02-19 22:04:12+00:00,2026-02-19 22:17:55.539892333+00:00,2026-02-20 02:20:14.436318930+00:00,Configuration,Vendor Fix,False,Medium,P2 Observability/Alerts: noisy monitor; suspected Configuration.
TCK-0004582,1,31,P3,Resolved,2026-04-14 16:30:09+00:00,2026-04-14 18:12:37.936999596+00:00,2026-04-15 02:33:22.965624936+00:00,Configuration,Code Fix,False,Medium,P3 Network/VPN: slow split-tunnel routing; suspected Configuration.
TCK-0004583,1,33,P2,Resolved,2026-04-10 12:34:39+00:00,2026-04-10 12:57:31.739625655+00:00,2026-04-11 00:33:20.759329823+00:00,Customer Error,User Education,False,Medium,P2 Network/VPN: MFA loop during remote login; suspected Customer Error.
TCK-0004584,13,10,P3,Resolved,2026-06-05 18:51:13+00:00,2026-06-05 21:13:51.222372126+00:00,2026-06-06 13:34:34.895815105+00:00,Capacity,Restart,False,Low,P3 Integrations/CRM Sync: duplicate account mapping; suspected Capacity.
TCK-0004585,8,3,P3,Resolved,2026-03-31 08:35:36+00:00,2026-03-31 10:45:07.528173368+00:00,2026-03-31 11:02:28.940030465+00:00,Certificate Expiry,Vendor Fix,False,None,P3 Security/SSO: certificate trust warning; suspected Certificate Expiry.
TCK-0004586,13,6,P3,Closed,2026-02-19 11:10:13+00:00,2026-02-19 13:04:19.812579881+00:00,2026-02-19 17:05:49.963448458+00:00,Vendor Outage,Knowledge Base,False,None,P3 Integrations/CRM Sync: sync job backlog; suspected Vendor Outage.
TCK-0004587,7,5,P4,Closed,2026-02-07 00:12:20+00:00,2026-02-07 01:41:48.801618862+00:00,2026-02-07 13:02:19.404562364+00:00,Documentation Gap,Code Fix,False,Low,P4 Application/API: rate limit confusion; suspected Documentation Gap.
TCK-0004588,3,25,P3,Resolved,2026-06-26 18:14:30+00:00,2026-06-26 18:39:53.590133642+00:00,2026-06-27 01:13:11.742514106+00:00,Capacity,Vendor Fix,True,Medium,P3 Platform/Compute: instance health check failures; suspected Capacity.
TCK-0004589,5,24,P2,Closed,2026-04-04 06:32:49+00:00,2026-04-04 06:42:28.411603102+00:00,2026-04-04 09:16:44.839081782+00:00,Code Regression,Vendor Fix,False,High,P2 Application/Login: session timeout reports; suspected Code Regression.
